"","Group","Date","Civil.Service.grad","gradeval","Gender","count","total","share","grp","sharebothgenders","gradescore","meangradescore","sorter","yvar"
"91","DH",2012,"AO/AA",1,"Female",-80,2370,-0.0337552742616034,"DHFemale",0.0506329113924051,0.0506329113924051,0.659915611814346,0.659915611814346,-0.0337552742616034
"92","DH",2012,"SEO/HEO",3,"Female",-480,2370,-0.20253164556962,"DHFemale",0.362869198312236,1.08860759493671,0.659915611814346,0.659915611814346,-0.20253164556962
"93","DH",2012,"SCS",5,"Male",130,2370,0.0548523206751055,"DHMale",0.0928270042194093,0.464135021097046,0.659915611814346,0.659915611814346,0.0548523206751055
"94","DH",2012,"EO",2,"Female",-270,2370,-0.113924050632911,"DHFemale",0.156118143459916,0.312236286919831,0.659915611814346,0.659915611814346,-0.113924050632911
"95","DH",2012,"G6/G7",4,"Female",-440,2370,-0.185654008438819,"DHFemale",0.345991561181435,1.38396624472574,0.659915611814346,0.659915611814346,-0.185654008438819
"96","DH",2012,"SCS",5,"Female",-90,2370,-0.0379746835443038,"DHFemale",0.0928270042194093,0.464135021097046,0.659915611814346,0.659915611814346,-0.0379746835443038
"97","DH",2012,"AO/AA",1,"Male",40,2370,0.0168776371308017,"DHMale",0.0506329113924051,0.0506329113924051,0.659915611814346,0.659915611814346,0.0168776371308017
"98","DH",2012,"SEO/HEO",3,"Male",380,2370,0.160337552742616,"DHMale",0.362869198312236,1.08860759493671,0.659915611814346,0.659915611814346,0.160337552742616
"99","DH",2012,"EO",2,"Male",100,2370,0.0421940928270042,"DHMale",0.156118143459916,0.312236286919831,0.659915611814346,0.659915611814346,0.0421940928270042
"100","DH",2012,"G6/G7",4,"Male",380,2370,0.160337552742616,"DHMale",0.345991561181435,1.38396624472574,0.659915611814346,0.659915611814346,0.160337552742616
"101","DWP",2012,"AO/AA",1,"Male",16060,112470,0.142793633857918,"DWPMale",0.48741886725349,0.48741886725349,0.335396105628168,0.335396105628168,0.142793633857918
"102","DWP",2012,"G6/G7",4,"Female",-1170,112470,-0.0104027740730862,"DWPFemale",0.0244509647016982,0.0978038588067929,0.335396105628168,0.335396105628168,-0.0104027740730862
"103","DWP",2012,"SCS",5,"Male",190,112470,0.00168933937939006,"DWPMale",0.00266737796745799,0.0133368898372899,0.335396105628168,0.335396105628168,0.00168933937939006
"104","DWP",2012,"AO/AA",1,"Female",-38760,112470,-0.344625233395572,"DWPFemale",0.48741886725349,0.48741886725349,0.335396105628168,0.335396105628168,-0.344625233395572
"105","DWP",2012,"SEO/HEO",3,"Male",5230,112470,0.0465012892326843,"DWPMale",0.110340535253845,0.331021605761536,0.335396105628168,0.335396105628168,0.0465012892326843
"106","DWP",2012,"EO",2,"Male",13230,112470,0.117631368364897,"DWPMale",0.373699653240864,0.747399306481728,0.335396105628168,0.335396105628168,0.117631368364897
"107","DWP",2012,"G6/G7",4,"Male",1580,112470,0.0140481906286121,"DWPMale",0.0244509647016982,0.0978038588067929,0.335396105628168,0.335396105628168,0.0140481906286121
"108","DWP",2012,"SCS",5,"Female",-110,112470,-0.000978038588067929,"DWPFemale",0.00266737796745799,0.0133368898372899,0.335396105628168,0.335396105628168,-0.000978038588067929
"109","DWP",2012,"EO",2,"Female",-28800,112470,-0.256068284875967,"DWPFemale",0.373699653240864,0.747399306481728,0.335396105628168,0.335396105628168,-0.256068284875967
"110","DWP",2012,"SEO/HEO",3,"Female",-7180,112470,-0.0638392460211612,"DWPFemale",0.110340535253845,0.331021605761536,0.335396105628168,0.335396105628168,-0.0638392460211612
"111","FCO",2012,"AO/AA",1,"Male",490,6560,0.0746951219512195,"FCOMale",0.173780487804878,0.173780487804878,0.551219512195122,0.551219512195122,0.0746951219512195
"112","FCO",2012,"EO",2,"Female",-810,6560,-0.123475609756098,"FCOFemale",0.231707317073171,0.463414634146341,0.551219512195122,0.551219512195122,-0.123475609756098
"113","FCO",2012,"EO",2,"Male",710,6560,0.108231707317073,"FCOMale",0.231707317073171,0.463414634146341,0.551219512195122,0.551219512195122,0.108231707317073
"114","FCO",2012,"AO/AA",1,"Female",-650,6560,-0.0990853658536585,"FCOFemale",0.173780487804878,0.173780487804878,0.551219512195122,0.551219512195122,-0.0990853658536585
"115","FCO",2012,"SEO/HEO",3,"Female",-790,6560,-0.120426829268293,"FCOFemale",0.327743902439024,0.983231707317073,0.551219512195122,0.551219512195122,-0.120426829268293
"116","FCO",2012,"SEO/HEO",3,"Male",1360,6560,0.207317073170732,"FCOMale",0.327743902439024,0.983231707317073,0.551219512195122,0.551219512195122,0.207317073170732
"117","FCO",2012,"G6/G7",4,"Male",840,6560,0.128048780487805,"FCOMale",0.198170731707317,0.792682926829268,0.551219512195122,0.551219512195122,0.128048780487805
"118","FCO",2012,"SCS",5,"Male",350,6560,0.0533536585365854,"FCOMale",0.0685975609756098,0.342987804878049,0.551219512195122,0.551219512195122,0.0533536585365854
"119","FCO",2012,"SCS",5,"Female",-100,6560,-0.0152439024390244,"FCOFemale",0.0685975609756098,0.342987804878049,0.551219512195122,0.551219512195122,-0.0152439024390244
"120","FCO",2012,"G6/G7",4,"Female",-460,6560,-0.0701219512195122,"FCOFemale",0.198170731707317,0.792682926829268,0.551219512195122,0.551219512195122,-0.0701219512195122
"121","HMRC",2012,"SCS",5,"Female",-140,78860,-0.0017752979964494,"HMRCFemale",0.00507227998985544,0.0253613999492772,0.353892974892214,0.353892974892214,-0.0017752979964494
"122","HMRC",2012,"AO/AA",1,"Male",14690,78860,0.186279482627441,"HMRCMale",0.535886380928227,0.535886380928227,0.353892974892214,0.353892974892214,0.186279482627441
"123","HMRC",2012,"G6/G7",4,"Female",-1490,78860,-0.0188942429622115,"HMRCFemale",0.0517372558965255,0.206949023586102,0.353892974892214,0.353892974892214,-0.0188942429622115
"124","HMRC",2012,"G6/G7",4,"Male",2590,78860,0.032843012934314,"HMRCMale",0.0517372558965255,0.206949023586102,0.353892974892214,0.353892974892214,0.032843012934314
"125","HMRC",2012,"EO",2,"Female",-10250,78860,-0.129977174740046,"HMRCFemale",0.222165863555668,0.444331727111337,0.353892974892214,0.353892974892214,-0.129977174740046
"126","HMRC",2012,"EO",2,"Male",7270,78860,0.0921886888156226,"HMRCMale",0.222165863555668,0.444331727111337,0.353892974892214,0.353892974892214,0.0921886888156226
"127","HMRC",2012,"SEO/HEO",3,"Female",-6310,78860,-0.0800152168399696,"HMRCFemale",0.185645447628709,0.556936342886127,0.353892974892214,0.353892974892214,-0.0800152168399696
"128","HMRC",2012,"SEO/HEO",3,"Male",8330,78860,0.10563023078874,"HMRCMale",0.185645447628709,0.556936342886127,0.353892974892214,0.353892974892214,0.10563023078874
"129","HMRC",2012,"AO/AA",1,"Female",-27570,78860,-0.349606898300786,"HMRCFemale",0.535886380928227,0.535886380928227,0.353892974892214,0.353892974892214,-0.349606898300786
"130","HMRC",2012,"SCS",5,"Male",260,78860,0.00329698199340604,"HMRCMale",0.00507227998985544,0.0253613999492772,0.353892974892214,0.353892974892214,0.00329698199340604
"131","HMT",2012,"G6/G7",4,"Female",-140,1070,-0.130841121495327,"HMTFemale",0.336448598130841,1.34579439252336,0.65607476635514,0.65607476635514,-0.130841121495327
"132","HMT",2012,"EO",2,"Female",-100,1070,-0.0934579439252336,"HMTFemale",0.14018691588785,0.280373831775701,0.65607476635514,0.65607476635514,-0.0934579439252336
"133","HMT",2012,"EO",2,"Male",50,1070,0.0467289719626168,"HMTMale",0.14018691588785,0.280373831775701,0.65607476635514,0.65607476635514,0.0467289719626168
"134","HMT",2012,"AO/AA",1,"Female",-70,1070,-0.0654205607476635,"HMTFemale",0.0841121495327103,0.0841121495327103,0.65607476635514,0.65607476635514,-0.0654205607476635
"135","HMT",2012,"SCS",5,"Female",-50,1070,-0.0467289719626168,"HMTFemale",0.11214953271028,0.560747663551402,0.65607476635514,0.65607476635514,-0.0467289719626168
"136","HMT",2012,"AO/AA",1,"Male",20,1070,0.0186915887850467,"HMTMale",0.0841121495327103,0.0841121495327103,0.65607476635514,0.65607476635514,0.0186915887850467
"137","HMT",2012,"SEO/HEO",3,"Male",200,1070,0.186915887850467,"HMTMale",0.336448598130841,1.00934579439252,0.65607476635514,0.65607476635514,0.186915887850467
"138","HMT",2012,"SEO/HEO",3,"Female",-160,1070,-0.149532710280374,"HMTFemale",0.336448598130841,1.00934579439252,0.65607476635514,0.65607476635514,-0.149532710280374
"139","HMT",2012,"G6/G7",4,"Male",220,1070,0.205607476635514,"HMTMale",0.336448598130841,1.34579439252336,0.65607476635514,0.65607476635514,0.205607476635514
"140","HMT",2012,"SCS",5,"Male",70,1070,0.0654205607476635,"HMTMale",0.11214953271028,0.560747663551402,0.65607476635514,0.65607476635514,0.0654205607476635
"141","HO",2012,"SCS",5,"Male",100,10750,0.00930232558139535,"HOMale",0.013953488372093,0.0697674418604651,0.444651162790698,0.444651162790698,0.00930232558139535
"142","HO",2012,"SCS",5,"Female",-50,10750,-0.00465116279069767,"HOFemale",0.013953488372093,0.0697674418604651,0.444651162790698,0.444651162790698,-0.00465116279069767
"143","HO",2012,"SEO/HEO",3,"Female",-1020,10750,-0.0948837209302326,"HOFemale",0.216744186046512,0.650232558139535,0.444651162790698,0.444651162790698,-0.0948837209302326
"144","HO",2012,"G6/G7",4,"Male",500,10750,0.0465116279069767,"HOMale",0.0893023255813954,0.357209302325581,0.444651162790698,0.444651162790698,0.0465116279069767
"145","HO",2012,"G6/G7",4,"Female",-460,10750,-0.0427906976744186,"HOFemale",0.0893023255813954,0.357209302325581,0.444651162790698,0.444651162790698,-0.0427906976744186
"146","HO",2012,"EO",2,"Female",-2120,10750,-0.197209302325581,"HOFemale",0.466976744186047,0.933953488372093,0.444651162790698,0.444651162790698,-0.197209302325581
"147","HO",2012,"AO/AA",1,"Female",-1110,10750,-0.103255813953488,"HOFemale",0.212093023255814,0.212093023255814,0.444651162790698,0.444651162790698,-0.103255813953488
"148","HO",2012,"AO/AA",1,"Male",1170,10750,0.108837209302326,"HOMale",0.212093023255814,0.212093023255814,0.444651162790698,0.444651162790698,0.108837209302326
"149","HO",2012,"EO",2,"Male",2900,10750,0.269767441860465,"HOMale",0.466976744186047,0.933953488372093,0.444651162790698,0.444651162790698,0.269767441860465
"150","HO",2012,"SEO/HEO",3,"Male",1310,10750,0.121860465116279,"HOMale",0.216744186046512,0.650232558139535,0.444651162790698,0.444651162790698,0.121860465116279
"151","MOD",2012,"G6/G7",4,"Male",1660,53380,0.031097789434245,"MODMale",0.0419632821281379,0.167853128512552,0.383064818284002,0.383064818284002,0.031097789434245
"152","MOD",2012,"G6/G7",4,"Female",-580,53380,-0.0108654926938928,"MODFemale",0.0419632821281379,0.167853128512552,0.383064818284002,0.383064818284002,-0.0108654926938928
"153","MOD",2012,"AO/AA",1,"Female",-10640,53380,-0.199325590108655,"MODFemale",0.473960284750843,0.473960284750843,0.383064818284002,0.383064818284002,-0.199325590108655
"154","MOD",2012,"SCS",5,"Male",190,53380,0.00355938553765455,"MODMale",0.00449606594230049,0.0224803297115024,0.383064818284002,0.383064818284002,0.00355938553765455
"155","MOD",2012,"AO/AA",1,"Male",14660,53380,0.274634694642188,"MODMale",0.473960284750843,0.473960284750843,0.383064818284002,0.383064818284002,0.274634694642188
"156","MOD",2012,"EO",2,"Female",-3490,53380,-0.0653802922442863,"MODFemale",0.184900711877108,0.369801423754215,0.383064818284002,0.383064818284002,-0.0653802922442863
"157","MOD",2012,"EO",2,"Male",6380,53380,0.119520419632821,"MODMale",0.184900711877108,0.369801423754215,0.383064818284002,0.383064818284002,0.119520419632821
"158","MOD",2012,"SEO/HEO",3,"Male",10810,53380,0.202510303484451,"MODMale",0.293742974896965,0.881228924690896,0.383064818284002,0.383064818284002,0.202510303484451
"159","MOD",2012,"SEO/HEO",3,"Female",-4870,53380,-0.0912326714125141,"MODFemale",0.293742974896965,0.881228924690896,0.383064818284002,0.383064818284002,-0.0912326714125141
"160","MOD",2012,"SCS",5,"Female",-50,53380,-0.000936680404645935,"MODFemale",0.00449606594230049,0.0224803297115024,0.383064818284002,0.383064818284002,-0.000936680404645935
"161","MOJ",2012,"SEO/HEO",3,"Male",680,4250,0.16,"MOJMale",0.36,1.08,0.512941176470588,0.512941176470588,0.16
"162","MOJ",2012,"SCS",5,"Female",-50,4250,-0.0117647058823529,"MOJFemale",0.0282352941176471,0.141176470588235,0.512941176470588,0.512941176470588,-0.0117647058823529
"163","MOJ",2012,"SCS",5,"Male",70,4250,0.0164705882352941,"MOJMale",0.0282352941176471,0.141176470588235,0.512941176470588,0.512941176470588,0.0164705882352941
"164","MOJ",2012,"G6/G7",4,"Male",410,4250,0.0964705882352941,"MOJMale",0.181176470588235,0.724705882352941,0.512941176470588,0.512941176470588,0.0964705882352941
"165","MOJ",2012,"SEO/HEO",3,"Female",-850,4250,-0.2,"MOJFemale",0.36,1.08,0.512941176470588,0.512941176470588,-0.2
"166","MOJ",2012,"AO/AA",1,"Female",-640,4250,-0.150588235294118,"MOJFemale",0.242352941176471,0.242352941176471,0.512941176470588,0.512941176470588,-0.150588235294118
"167","MOJ",2012,"AO/AA",1,"Male",390,4250,0.0917647058823529,"MOJMale",0.242352941176471,0.242352941176471,0.512941176470588,0.512941176470588,0.0917647058823529
"168","MOJ",2012,"EO",2,"Male",280,4250,0.0658823529411765,"MOJMale",0.188235294117647,0.376470588235294,0.512941176470588,0.512941176470588,0.0658823529411765
"169","MOJ",2012,"G6/G7",4,"Female",-360,4250,-0.0847058823529412,"MOJFemale",0.181176470588235,0.724705882352941,0.512941176470588,0.512941176470588,-0.0847058823529412
"170","MOJ",2012,"EO",2,"Female",-520,4250,-0.122352941176471,"MOJFemale",0.188235294117647,0.376470588235294,0.512941176470588,0.512941176470588,-0.122352941176471
"171","Whole Civil Service",2012,"AO/AA",1,"Male",88530,463810,0.190875574049719,"Whole Civil ServiceMale",0.453935878915935,0.453935878915935,0.382242728703564,0.740610687022901,0.190875574049719
"172","Whole Civil Service",2012,"SCS",5,"Male",2870,463810,0.00618787865720877,"Whole Civil ServiceMale",0.00952976434315776,0.0476488217157888,0.382242728703564,0.740610687022901,0.00618787865720877
"173","Whole Civil Service",2012,"SCS",5,"Female",-1550,463810,-0.00334188568594899,"Whole Civil ServiceFemale",0.00952976434315776,0.0476488217157888,0.382242728703564,0.740610687022901,-0.00334188568594899
"174","Whole Civil Service",2012,"G6/G7",4,"Male",19790,463810,0.0426683340160842,"Whole Civil ServiceMale",0.0724650180030616,0.289860072012246,0.382242728703564,0.740610687022901,0.0426683340160842
"175","Whole Civil Service",2012,"G6/G7",4,"Female",-13820,463810,-0.0297966839869774,"Whole Civil ServiceFemale",0.0724650180030616,0.289860072012246,0.382242728703564,0.740610687022901,-0.0297966839869774
"176","Whole Civil Service",2012,"AO/AA",1,"Female",-122010,463810,-0.263060304866217,"Whole Civil ServiceFemale",0.453935878915935,0.453935878915935,0.382242728703564,0.740610687022901,-0.263060304866217
"177","Whole Civil Service",2012,"EO",2,"Female",-66410,463810,-0.143183631228305,"Whole Civil ServiceFemale",0.257303637265259,0.514607274530519,0.382242728703564,0.740610687022901,-0.143183631228305
"178","Whole Civil Service",2012,"EO",2,"Male",52930,463810,0.114120006036955,"Whole Civil ServiceMale",0.257303637265259,0.514607274530519,0.382242728703564,0.740610687022901,0.114120006036955
"179","Whole Civil Service",2012,"SEO/HEO",3,"Female",-42070,463810,-0.0907052456824993,"Whole Civil ServiceFemale",0.201720532114443,0.60516159634333,0.382242728703564,0.740610687022901,-0.0907052456824993
"180","Whole Civil Service",2012,"SEO/HEO",3,"Male",51490,463810,0.111015286431944,"Whole Civil ServiceMale",0.201720532114443,0.60516159634333,0.382242728703564,0.740610687022901,0.111015286431944
